1	 United States	21427700
2	 China	14342903
3	 Japan	5081770
4	 Germany	3845630
5	 India	2875142
6	 United Kingdom	2827113
7	 France	2715518
8	 Italy	2001244
9	 Brazil	1839758
10	 Canada	1736426
11	 Russia	1699877
12	 Korea South	1642383
12	 South Korea	1642383
13	 Spain	1394116
14	 Australia	1392681
15	 Mexico	1258287
16	 Indonesia	1119191
17	 Netherlands	909070
18	 Saudi Arabia	792967
19	 Turkey	754412
20	 Switzerland	703082
21	 Poland	592164
22	 Thailand	543650
23	 Sweden	530833
24	 Belgium	529607
25	 Argentina	449663
26	 Nigeria	448120
27	 Austria	446315
28	 Iran	445345
29	 United Arab Emirates	421142
30	 Norway	403336
31	 Israel	395099
32	 Ireland	388699
33	 Philippines	376796
34	 Singapore	372063
35	 Malaysia	364702
36	 South Africa	351432
37	 Denmark	348078
38	 Colombia	323803
39	 Egypt, Arab Rep.	303175
40	 Bangladesh	302571
41	 Chile	282318
42	 Pakistan	278222
43	 Finland	268761
44	 Vietnam	261921
45	 Romania	250077
46	 Czech Republic	246489
47	 Portugal	237686
48	 Iraq	234094
49	 Peru	226848
50	 Greece	209853
51	 New Zealand	206929
52	 Qatar	183466
53	 Kazakhstan	180162
54	 Algeria	169988
55	 Hungary	160967
56	 Ukraine	153781
57	 Kuwait	134761
58	 Morocco	118725
59	 Ecuador	107436
60	 Slovak Republic	105422
61	 Puerto Rico	104989
61	 Cuba	100023
62	 Ethiopia	96108
63	 Kenya	95503
64	 Angola	94635
65	 Dominican Republic	88941
66	 Sri Lanka	84009
67	 Oman	76983
68	 Guatemala	76710
69	 Myanmar	76086
70	 Luxembourg	71105
71	 Bulgaria	67927
72	 Ghana	66984
73	 Panama	66801
74	 Tanzania	63177
75	 Belarus	63080
76	 Costa Rica	61774
77	 Croatia	60416
78	 Cote d'Ivoire	58792
79	 Uzbekistan	57921
—	 Uruguay	56046
80	 Lithuania	54219
81	 Macao	53859
82	 Slovenia	53742
83	 Lebanon	53367
84	 Libya	52076
85	 Serbia	51409
86	 Azerbaijan	48048
87	 Congo Democratic Republic of the	47320
88	 Jordan	43744
89	 Bolivia	40895
90	 Turkmenistan	40761
91	 Tunisia	38798
92	 Cameroon	38760
93	 Bahrain	38574
94	 Paraguay	38145
95	 Uganda	34387
96	 Latvia	34117
97	 Estonia	31387
98	   Nepal	30641
99	 Cambodia	27089
100	 El Salvador	27023
101	 Honduras	25095
102	 Papua New Guinea	24970
103	 Cyprus	24565
104	 Iceland	24188
105	 Trinidad and Tobago	24100
106	 Senegal	23578
107	 Zambia	23065
108	 Zimbabwe	21441
109	 Bosnia and Herzegovina	20048
110	 Afghanistan	19101
111	 Sudan	18902
112	 Botswana	18341
113	 Laos	18174
114	 Georgia	17743
115	 Mali	17510
116	 Gabon	16658
117	 Jamaica	16458
118	 Burkina Faso	15746
—	 Albania	15278
119	 Mozambique	14934
120	 Malta	14786
121	 Palestine	14616
122	 Benin	14391
123	 Mauritius	14180
124	 Madagascar	14084
125	 Mongolia	13853
126	 Armenia	13673
127	 Guinea	13590
128	 Brunei	13469
129	 Niger	12928
130	 Bahamas The	12827
131	 North Macedonia	12695
131	 Macedonia, FYR	12695
132	 Nicaragua	12521
133	 Namibia	12367
134	 Moldova	11955
135	 Chad	11315
136	 Equatorial Guinea	11027
137	 Congo Republic of the	10821
138	 Rwanda	10122
139	 Haiti	8499
140	 Kyrgyzstan	8455
140	 Kyrgyz Republic	8455
—	 Tajikistan	8117
141	 Kosovo	7926
142	 Malawi	7667
143	 Mauritania	7594
144	 Maldives	5729
145	 Fiji	5536
146	 Montenegro	5495
147	 Togo	5460
148	 Barbados	5209
149	 Eswatini	4405
150	 Guyana	4280
151	 Suriname	3985
152	 Sierra Leone	3941
153	 Djibouti	3319
154	 Andorra	3154
155	 Liberia	3071
156	 Burundi	3012
157	 Lesotho	2460
158	 Bhutan	2447 
159	 Central African Republic	2220
160	 Saint Lucia	2122
161	 Cabo Verde	1982
162	 Belize	1880
163	 Gambia The	1764
164	 Antigua and Barbuda	1728
165	 Seychelles	1699
166	 Timor-Leste	1674
167	 San Marino	1638 
168	 Solomon Islands	1425
169	 Guinea-Bissau	1340
170	 Grenada	1228
171	 Comoros	1186
172	 Saint Kitts and Nevis	1051
173	 Vanuatu	917
174	 Samoa	851
175	 Saint Vincent and the Grenadines	825
176	 Dominica	596
177	 Tonga	450
178	 Sao Tome and Principe	429
179	 Micronesia Federated States of	402 
180	 Palau	284 
181	 Marshall Islands	221 
182	 Kiribati	195
183	 Nauru	118
184	 Tuvalu	47