abu	55100
ace	3500000
adg	5
akh	40000
aml	16000
agm	2500
anc	400000
anu	52000
aro	110
ata	2000
bwc	19600
bka	5000
bvi	16000
baw	10000
bkl	1200
pnu	1080
cnl	10700
cnt	1850
cha	30300
cle	2000
chr	12300
din	1365900
dre	8000
duk	470
dun	20000
ese	500
fij	650000
fut	1500
goe	2100
gok	35000
gul	350
hau	33500000
haw	2000
hma	10000
hmo	120000
hoa	460
isa	280
iba	1452000
juk	100000
juh	7000
ksg	2400
kaa	506000
khr	240000
khs	600
khm	17390040
kmu	8000
kim	93
kkt	1470
xbi	2970
kos	6620
kch	500
kse	2400
thy	1000
lah	118852200
lai	59500
lal	55000
lmp	130000
lao	3870000
lep	50600
lnd	23000
lgu	1890
lou	10000
mad	6770000
mae	2000
mak	2530000
mkj	1000
mal	34451800
mmn	5150
mng	30000
man	7293000
mku	210000
mru	300
mka	200
mbm	20000
mek	19000
mie	6170
min	5530000
mxo	460
miz	2090
mon	6006590
mum	2450
mup	5560000
mus	5070
ndy	17000
ngd	5000
nsg	200
niu	1330
nun	400
nup	1000000
osa	10
pok	100
rap	1000
raw	62000
saa	1340
snm	60000
sed	97000
sti	45000
sun	34000000
tab	126000
tag	13000
tah	63000
teo	2360000
ttn	120
tha	60200000
tim	11000
tin	2150
tla	8700
tng	30000
uli	3000
ung	57
urt	6280
vai	167000
vie	65800000
war	2560000
wol	5210000
yap	5130
yor	20900000
zhn	500000