fin	5413380
sme	20000
fra	76096430
fry	843000
som	7820000
aze	23200540
khm	16390040
ukr	32600000
heb	4380000
uig	10100000
vie	65800000
ita	57700000
mlg	18138380
mlt	393000
ind	23195070
cmn	897902930
bre	206000
lav	1802460
hrv	5256400
epo	0
tha	20548550
gla	57400
guj	45700000
uzb	29333900
ibo	18000000
cat	4105420
spa	436667750
nob	5080000
yid	1551280
amh	21821520
srp	6340000
asm	12800000
ces	10677190
pus	38292800
lim	700000
lit	2800000
kan	37739040
kat	3200000
kaz	9980000
jpn	128193360
rus	153612510
mal	34451800
cym	562000
ben	242315050
bel	2230000
urd	69050130
swe	9244250
nep	16160600
xho	8169300
isl	300000
slv	2104630
slk	5149000
gle	167940
glg	2340000
kir	4170000
kin	10600000
zul	11772100
bos	1120000
mar	71775760
orm	17465900
ori	32656870
tur	71083170
tuk	7097970
pan	28200000
mon	6006590
hye	2960000
deu	76813820
kor	48400000
mkd	1380000
afr	7218390
eus	468000
dan	5380000
hau	27374100
est	1217540
bul	7020000
kur	25353230
eng	371959910
oci	110000
ell	13077490
nnp	49100
tir	7747400
sqi	4082380
ron	24150840
msa	60824376
hun	9840000
nld	15700000
por	218765470
pol	40441370
fas	61929420
tel	74244300
wln	600000
hin	260129750
ara	40000000
tgj	38200
tgk	7863920
tgl	24628290
swa	15993010
tat	5188710
tam	67965790
sin	14210660
mya	32875600
bam	4096380
fao	69000
yor	19043700
yue	72893210
san	14100
crh	573540
ckb	7250000
aka	8214000
sot	5974000
ast	110000
sna	7223100
lug	5563450
kmr	15103230
hil	5770000