Language	UDP_UAS	UDP_LAS	UDF_UAS	UDF_LAS
afr	89.38	86.58	86.97	83.48
akk	0	0	27.65	4.54
amh	0	0	17.38	3.49
grc	85.93	82.11	78.91	72.66
ara	87.54	82.94	87.72	82.88
hye	78.62	71.27	85.63	78.61
bam	0	0	30.28	8.6
eus	86.11	82.86	84.94	80.97
bel	78.58	72.72	91.82	87.19
bre	0	0	63.52	39.84
bul	93.38	90.35	95.54	92.4
bua	32.6	18.83	48.43	26.28
yue	0	0	46.82	32.01
cat	93.22	91.06	94.25	92.33
cmn	84.64	80.5	87.93	83.75
cop	85.58	80.97	27.58	10.82
hrv	91.1	86.78	94.08	89.79
ces	93.33	91.31	94.73	92.88
dan	86.88	84.31	87.76	84.5
nld	91.37	88.38	94.23	91.21
eng	89.63	86.97	90.96	88.5
myv	0	0	31.9	16.38
est	88	85.18	89.53	86.67
fao	0	0	67.24	59.26
fin	90.68	87.89	86.37	81.4
fra	90.65	88.06	93.6	91.45
glg	86.44	83.82	84.75	80.89
deu	85.53	81.07	87.81	83.59
got	85.28	79.6	85.61	79.37
ell	92.1	89.79	94.33	92.15
heb	98.7	86.86	91.63	88.11
hin	94.85	91.83	95.13	91.46
hun	84.04	79.73	89.68	84.88
ind	85.31	78.99	86.45	80.1
gle	80.39	72.34	80.05	69.28
ita	93.49	91.54	95.54	93.69
jpn	95.06	93.73	94.37	92.08
kaz	53.3	33.38	74.77	63.66
kom	0	0	36.01	22.12
kor	87.7	84.24	82.74	74.26
kur	45.23	34.32	35.86	20.4
lat	91.06	88.8	92.43	90.12
lav	87.2	83.35	89.33	85.09
lit	51.98	42.17	79.06	69.34
mlt	84.65	79.71	83.07	75.56
mar	70.63	61.41	79.37	67.72
pcm	0	0	45.75	32.16
sme	78.3	73.49	74.3	67.13
nob	92.39	90.49	93.97	92.18
nno	92.09	90.01	94.34	92.37
chu	89.66	85.04	76.71	66.67
fro	91.74	86.83	91.74	86.65
fas	90.05	86.66	89.59	85.84
pol	96.58	94.76	96.67	94.58
por	93.01	91.63	94.22	92.54
ron	91.31	86.74	93.16	88.56
rus	88.15	84.37	90.71	86.03
san	0	0	40.21	18.56
srp	92.7	89.27	95.68	91.95
slk	89.82	86.9	95.92	93.87
slv	92.96	91.16	94.74	93.07
spa	90.71	88.03	90.82	87.23
swe	86.07	81.86	88.77	85.49
swl	50.35	37.94	40.43	26.95
tgl	0	0	64.04	40.07
tam	74.11	66.37	79.34	71.29
tel	91.26	85.02	92.23	83.91
tha	0	0	49.05	26.06
tur	74.19	67.56	74.56	67.44
ukr	88.29	85.25	92.83	90.3
hsb	45.58	34.54	71.55	62.82
urd	87.5	81.62	88.43	82.84
uig	78.46	67.09	65.89	48.8
vie	70.38	62.56	74.11	66
wbp	0	0	21.66	7.96
yor	0	0	37.62	19.09